ReturnID,OrderID,ProductID,ReturnDate,ReturnQty,ReturnReason,RefundAmount
1,30,313,2023-07-31,2,Size Issue,6536.33
2,35,17,2025-08-10,2,Size Issue,9366.94
3,39,309,2024-03-12,1,Wrong Item,5140.88
4,77,120,2026-01-26,2,Wrong Item,10339.52
5,93,47,2024-11-16,1,Size Issue,2220.31
6,95,331,2026-04-18,1,Wrong Item,1343.82
7,108,40,2025-11-06,2,Size Issue,5553.83
8,125,70,2024-09-05,1,Late Delivery,2359.26
9,126,52,2024-08-21,2,Damaged,10373.5
10,236,436,2024-01-30,2,Customer Changed Mind,1607.2
11,243,329,2025-09-26,1,Defective,390.98
12,264,404,2023-11-10,2,Wrong Item,1581.81
13,284,450,2026-05-28,2,Size Issue,3990.29
14,291,338,2025-01-07,1,Wrong Item,6600.19
15,359,370,2026-06-24,1,Damaged,3009.77
16,388,293,2026-02-18,2,Defective,6122.93
17,408,382,2024-11-28,2,Wrong Item,939.13
18,419,6,2026-06-08,1,Damaged,1429.89
19,495,147,2026-01-05,2,Wrong Item,1301.23
20,502,23,2023-09-14,1,Late Delivery,1150.16
21,553,473,2024-09-19,2,Late Delivery,3385.51
22,563,364,2025-03-06,1,Size Issue,9565.27
23,564,330,2023-06-23,2,Size Issue,10053.88
24,581,377,2023-11-09,1,Late Delivery,3067.9
25,594,145,2026-05-31,2,Late Delivery,5694.87
26,710,374,2026-06-10,2,Customer Changed Mind,2859.57
27,774,491,2023-09-02,2,Damaged,2102.49
28,779,481,2026-07-16,1,Size Issue,9910.41
29,784,295,2024-06-28,2,Size Issue,3722.02
30,795,431,2025-02-21,1,Size Issue,7319.62
31,810,225,2023-12-14,1,Defective,4097.21
32,903,329,2023-04-24,2,Damaged,2463.32
33,925,387,2026-01-31,1,Customer Changed Mind,4262.49
34,939,131,2025-01-02,2,Defective,8236.25
35,1007,73,2024-02-16,2,Late Delivery,4916.39
36,1077,295,2024-03-14,1,Customer Changed Mind,11724.4
37,1131,315,2026-07-09,2,Damaged,3859.85
38,1136,65,2024-02-06,1,Size Issue,11800.63
39,1186,182,2026-05-08,1,Late Delivery,545.12
40,1199,427,2023-06-29,1,Defective,860.46
41,1242,367,2024-12-13,1,Size Issue,6794.17
42,1245,439,2023-12-23,1,Late Delivery,4305.73
43,1254,246,2023-07-10,1,Size Issue,1201.48
44,1350,424,2025-11-22,1,Size Issue,1534.05
45,1381,490,2024-02-08,2,Size Issue,1654.04
46,1388,419,2023-07-06,1,Customer Changed Mind,7212.07
47,1403,400,2025-11-24,1,Damaged,10057.73
48,1417,473,2023-04-16,2,Late Delivery,7728.31
49,1423,255,2024-04-28,2,Defective,4547.9
50,1497,443,2023-11-27,1,Defective,3497.42
51,1517,145,2025-05-04,1,Defective,6558.7
52,1530,143,2025-11-06,2,Wrong Item,4675.47
53,1535,345,2023-11-03,1,Wrong Item,7626.9
